recipe_id,title,description,prep_time_min,cook_time_min,total_time_min,difficulty,category,dietary_type,author_id,author_name,created_at
0wN9f7Aj35u9RaBtvSyt,Puran Poli,Traditional Maharashtrian style Puran Poli.,29,48,77,Easy,Uncategorized,Unknown,user_MH03,Kolhapuri_Spiceman,2025-11-20T23:27:00.853211+00:00
4bdyFBx5qJRHkFXXoCBd,Masale Bhaat,Traditional Maharashtrian style Masale Bhaat.,30,29,59,Hard,Uncategorized,Unknown,user_MH05,Nagpur_Foodie,2025-11-20T23:27:19.191662+00:00
5fh6lZjyhc64yEto3feT,Sabudana Khichdi,Traditional Maharashtrian style Sabudana Khichdi.,34,32,66,Easy,Uncategorized,Unknown,user_MH05,Nagpur_Foodie,2025-11-20T23:26:55.933152+00:00
AG5SNwy0XlIPy2pskV6A,Batata Vada,Traditional Maharashtrian style Batata Vada.,37,25,62,Easy,Uncategorized,Unknown,user_MH02,Mumbai_Cha_Raja,2025-11-20T23:27:22.136749+00:00
ElkULpf1e87utdDBBCh1,Kothimbir Vadi,Traditional Maharashtrian style Kothimbir Vadi.,27,60,87,Medium,Uncategorized,Unknown,user_MH03,Kolhapuri_Spiceman,2025-11-20T23:27:12.623996+00:00
GoZpJ0oPQ8kicn1YLVbZ,Bharli Vangi (Stuffed Eggplant),Traditional Maharashtrian style Bharli Vangi (Stuffed Eggplant).,30,21,51,Medium,Uncategorized,Unknown,user_MH01,Puneri_Maushi,2025-11-20T23:27:31.884624+00:00
LVmh3o7AD0OJ6viLyXy7,Vada Pav,Traditional Maharashtrian style Vada Pav.,28,55,83,Easy,Uncategorized,Unknown,user_MH04,Konkan_Chef,2025-11-20T23:26:52.102565+00:00
PR60aK9qVaQtGaPTCJmt,Kothimbir Vadi,Traditional Maharashtrian style Kothimbir Vadi.,19,35,54,Medium,Uncategorized,Unknown,user_MH01,Puneri_Maushi,2025-11-20T23:27:25.382960+00:00
VoflyIYaLUSPiRwmITZZ,Kanda Poha,Traditional Maharashtrian style Kanda Poha.,28,29,57,Hard,Uncategorized,Unknown,user_MH02,Mumbai_Cha_Raja,2025-11-20T23:27:27.451757+00:00
Zp0d5EGyhY8q0AVYOPw7,Crispy Dosa,South Indian fermented crepe made from rice and lentil batter.,30,30,540,Medium,Uncategorized,Unknown,user_12345,Dnyaneshwarpotdar,2025-11-20T23:28:22.858600+00:00
aroReC0jFLONYe2tTwol,Kolhapuri Mutton,Traditional Maharashtrian style Kolhapuri Mutton.,21,29,50,Hard,Uncategorized,Unknown,user_MH04,Konkan_Chef,2025-11-20T23:27:35.109426+00:00
bDNmDH9eWFMMEKSN7xjm,Sheera,Traditional Maharashtrian style Sheera.,37,42,79,Easy,Uncategorized,Unknown,user_MH04,Konkan_Chef,2025-11-20T23:27:07.398160+00:00
bZkFBpZeOjehS3oE4mkV,Modak,Traditional Maharashtrian style Modak.,21,33,54,Hard,Uncategorized,Unknown,user_MH04,Konkan_Chef,2025-11-20T23:27:38.837668+00:00
fKFhRLiD7fbesBzQDZeu,Thalipeeth,Traditional Maharashtrian style Thalipeeth.,27,28,55,Easy,Uncategorized,Unknown,user_MH05,Nagpur_Foodie,2025-11-20T23:27:45.388633+00:00
l8UGZEWw0ijk1d5zoNfM,Shrikhand,Traditional Maharashtrian style Shrikhand.,20,60,80,Hard,Uncategorized,Unknown,user_MH01,Puneri_Maushi,2025-11-20T23:27:02.838972+00:00
nYGzwEK41N9WdObvDfMX,Sheera,Traditional Maharashtrian style Sheera.,34,40,74,Easy,Uncategorized,Unknown,user_MH02,Mumbai_Cha_Raja,2025-11-20T23:26:54.292379+00:00
sfpMz9c4zWzm94NZDFKn,Pav Bhaji,Traditional Maharashtrian style Pav Bhaji.,29,31,60,Easy,Uncategorized,Unknown,user_MH03,Kolhapuri_Spiceman,2025-11-20T23:27:15.567311+00:00
v3hfrxZLqo0Q0HqcnG5T,Alu Vadi,Traditional Maharashtrian style Alu Vadi.,29,23,52,Hard,Uncategorized,Unknown,user_MH04,Konkan_Chef,2025-11-20T23:26:59.206451+00:00
vVRlXBePEzWTKJt0ORYz,Pithla Bhakri,Traditional Maharashtrian style Pithla Bhakri.,28,57,85,Medium,Uncategorized,Unknown,user_MH05,Nagpur_Foodie,2025-11-20T23:27:09.372059+00:00
vnBYPx7Fw7fkT5Gwnt3I,Kothimbir Vadi,Traditional Maharashtrian style Kothimbir Vadi.,27,36,63,Easy,Uncategorized,Unknown,user_MH02,Mumbai_Cha_Raja,2025-11-20T23:27:41.616390+00:00
x549tnL9KHEIBUMQbuBv,Batata Vada,Traditional Maharashtrian style Batata Vada.,34,42,76,Easy,Uncategorized,Unknown,user_MH04,Konkan_Chef,2025-11-20T23:27:43.226428+00:00
